"Pressure","VMAG","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0018867,0.097433,-0.09743,0.00034101,0,1,0.167,0.5,0.167,0
0.0018694,0.097931,-0.097927,0.00035147,0,1,0.168,0.5,0.168,0
0.001852,0.098428,-0.098425,0.00036194,0,1,0.169,0.5,0.169,0
0.0018346,0.098925,-0.098922,0.0003724,0,1,0.17,0.5,0.17,0
0.0018173,0.099422,-0.099419,0.00038286,0,1,0.171,0.5,0.171,0
0.0017997,0.099919,-0.099916,0.00039362,0,1,0.172,0.5,0.172,0
0.0017804,0.10041,-0.10041,0.00040654,0,1,0.173,0.5,0.173,0
0.001761,0.10091,-0.10091,0.00041945,0,1,0.174,0.5,0.174,0
0.0017417,0.1014,-0.1014,0.00043236,0,1,0.175,0.5,0.175,0
0.0017223,0.1019,-0.1019,0.00044527,0,1,0.176,0.5,0.176,0
0.001703,0.10239,-0.10239,0.00045819,0,1,0.177,0.5,0.177,0
0.0016837,0.10289,-0.10289,0.0004711,0,1,0.178,0.5,0.178,0
0.0016643,0.10338,-0.10338,0.00048401,0,1,0.179,0.5,0.179,0
0.0016443,0.10388,-0.10387,0.00049779,0,1,0.18,0.5,0.18,0
0.0016229,0.10437,-0.10437,0.00051349,0,1,0.181,0.5,0.181,0
0.0016014,0.10486,-0.10486,0.00052919,0,1,0.182,0.5,0.182,0
0.0015799,0.10536,-0.10535,0.00054489,0,1,0.183,0.5,0.183,0
0.0015584,0.10585,-0.10585,0.00056059,0,1,0.184,0.5,0.184,0
0.001537,0.10634,-0.10634,0.00057629,0,1,0.185,0.5,0.185,0
0.0015155,0.10684,-0.10683,0.00059199,0,1,0.186,0.5,0.186,0
0.001494,0.10733,-0.10733,0.00060769,0,1,0.187,0.5,0.187,0
0.0014714,0.10782,-0.10782,0.00062496,0,1,0.188,0.5,0.188,0
0.0014477,0.10831,-0.10831,0.00064379,0,1,0.189,0.5,0.189,0
0.0014239,0.10881,-0.1088,0.00066263,0,1,0.19,0.5,0.19,0
0.0014002,0.1093,-0.10929,0.00068147,0,1,0.191,0.5,0.191,0
0.0013764,0.10979,-0.10978,0.0007003,0,1,0.192,0.5,0.192,0
0.0013526,0.11028,-0.11027,0.00071914,0,1,0.193,0.5,0.193,0
0.0013289,0.11077,-0.11076,0.00073797,0,1,0.194,0.5,0.194,0
0.0013051,0.11126,-0.11126,0.00075681,0,1,0.195,0.5,0.195,0
0.0012797,0.11175,-0.11175,0.00077805,0,1,0.196,0.5,0.196,0
0.0012535,0.11224,-0.11224,0.00080039,0,1,0.197,0.5,0.197,0
0.0012273,0.11273,-0.11272,0.00082273,0,1,0.198,0.5,0.198,0
0.0012011,0.11322,-0.11321,0.00084507,0,1,0.199,0.5,0.199,0
0.0011749,0.11371,-0.1137,0.00086741,0,1,0.2,0.5,0.2,0
0.0011487,0.1142,-0.11419,0.00088975,0,1,0.201,0.5,0.201,0
0.0011225,0.11469,-0.11468,0.00091208,0,1,0.202,0.5,0.202,0
0.0010963,0.11518,-0.11517,0.00093442,0,1,0.203,0.5,0.203,0
0.0010678,0.11567,-0.11566,0.00096015,0,1,0.204,0.5,0.204,0
0.001039,0.11616,-0.11615,0.00098637,0,1,0.205,0.5,0.205,0
0.0010102,0.11665,-0.11664,0.0010126,0,1,0.206,0.5,0.206,0
0.00098136,0.11713,-0.11713,0.0010388,0,1,0.207,0.5,0.207,0
0.00095255,0.11762,-0.11761,0.001065,0,1,0.208,0.5,0.208,0
0.00092373,0.11811,-0.1181,0.0010912,0,1,0.209,0.5,0.209,0
0.00089492,0.1186,-0.11859,0.0011175,0,1,0.21,0.5,0.21,0
0.00086593,0.11909,-0.11908,0.0011439,0,1,0.211,0.5,0.211,0
0.00083433,0.11958,-0.11956,0.0011744,0,1,0.212,0.5,0.212,0
0.00080273,0.12006,-0.12005,0.0012049,0,1,0.213,0.5,0.213,0
0.00077113,0.12055,-0.12054,0.0012354,0,1,0.214,0.5,0.214,0
0.00073953,0.12104,-0.12102,0.0012659,0,1,0.215,0.5,0.215,0
0.00070793,0.12152,-0.12151,0.0012964,0,1,0.216,0.5,0.216,0
0.00067634,0.12201,-0.122,0.0013268,0,1,0.217,0.5,0.217,0
0.00064474,0.1225,-0.12248,0.0013573,0,1,0.218,0.5,0.218,0
0.0006124,0.12298,-0.12297,0.001389,0,1,0.219,0.5,0.219,0
0.00057784,0.12347,-0.12346,0.0014241,0,1,0.22,0.5,0.22,0
0.00054327,0.12395,-0.12394,0.0014593,0,1,0.221,0.5,0.221,0
0.00050871,0.12444,-0.12443,0.0014944,0,1,0.222,0.5,0.222,0
0.00047415,0.12493,-0.12491,0.0015296,0,1,0.223,0.5,0.223,0
0.00043959,0.12541,-0.1254,0.0015647,0,1,0.224,0.5,0.224,0
0.00040503,0.1259,-0.12588,0.0015999,0,1,0.225,0.5,0.225,0
0.00037046,0.12638,-0.12637,0.001635,0,1,0.226,0.5,0.226,0
0.00033453,0.12687,-0.12685,0.0016724,0,1,0.227,0.5,0.227,0
0.00029682,0.12735,-0.12733,0.0017126,0,1,0.228,0.5,0.228,0
0.00025911,0.12783,-0.12782,0.0017528,0,1,0.229,0.5,0.229,0
0.0002214,0.12832,-0.1283,0.0017931,0,1,0.23,0.5,0.23,0
0.00018369,0.1288,-0.12878,0.0018333,0,1,0.231,0.5,0.231,0
0.00014599,0.12929,-0.12927,0.0018735,0,1,0.232,0.5,0.232,0
