"Pressure","VMAG","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0023778,0.17875,-0.050309,-0.1715,0,1,0.909,0.909,0.5,0
-0.0024398,0.177,-0.049342,-0.16996,0,1,0.91,0.91,0.5,0
-0.0025018,0.17525,-0.048375,-0.16842,0,1,0.911,0.911,0.5,0
-0.0025638,0.17351,-0.047408,-0.16688,0,1,0.912,0.912,0.5,0
-0.0026258,0.17176,-0.046441,-0.16534,0,1,0.913,0.913,0.5,0
-0.0026878,0.17001,-0.045474,-0.1638,0,1,0.914,0.914,0.5,0
-0.0027604,0.1682,-0.044554,-0.16217,0,1,0.915,0.915,0.5,0
-0.0028337,0.16638,-0.043638,-0.16053,0,1,0.916,0.916,0.5,0
-0.002907,0.16456,-0.042722,-0.1589,0,1,0.917,0.917,0.5,0
-0.0029803,0.16274,-0.041805,-0.15726,0,1,0.918,0.918,0.5,0
-0.0030536,0.16092,-0.040889,-0.15562,0,1,0.919,0.919,0.5,0
-0.0031269,0.1591,-0.039973,-0.15398,0,1,0.92,0.92,0.5,0
-0.0032002,0.15729,-0.039057,-0.15234,0,1,0.921,0.921,0.5,0
-0.0032748,0.15546,-0.038148,-0.1507,0,1,0.922,0.922,0.5,0
-0.0033586,0.15358,-0.03729,-0.14897,0,1,0.923,0.923,0.5,0
-0.0034424,0.1517,-0.036432,-0.14724,0,1,0.924,0.924,0.5,0
-0.0035261,0.14982,-0.035574,-0.14552,0,1,0.925,0.925,0.5,0
-0.0036099,0.14794,-0.034717,-0.14379,0,1,0.926,0.926,0.5,0
-0.0036937,0.14606,-0.033859,-0.14206,0,1,0.927,0.927,0.5,0
-0.0037775,0.14418,-0.033001,-0.14034,0,1,0.928,0.928,0.5,0
-0.0038613,0.1423,-0.032144,-0.13861,0,1,0.929,0.929,0.5,0
-0.0039481,0.1404,-0.031306,-0.13686,0,1,0.93,0.93,0.5,0
-0.0040414,0.13847,-0.030515,-0.13505,0,1,0.931,0.931,0.5,0
-0.0041348,0.13654,-0.029723,-0.13325,0,1,0.932,0.932,0.5,0
-0.0042282,0.13461,-0.028931,-0.13145,0,1,0.933,0.933,0.5,0
-0.0043216,0.13268,-0.02814,-0.12964,0,1,0.934,0.934,0.5,0
-0.0044149,0.13075,-0.027348,-0.12784,0,1,0.935,0.935,0.5,0
-0.0045083,0.12881,-0.026556,-0.12603,0,1,0.936,0.936,0.5,0
-0.0046017,0.12688,-0.025765,-0.12423,0,1,0.937,0.937,0.5,0
-0.0046994,0.12493,-0.02501,-0.12239,0,1,0.938,0.938,0.5,0
-0.0048014,0.12296,-0.024291,-0.12052,0,1,0.939,0.939,0.5,0
-0.0049035,0.12098,-0.023572,-0.11865,0,1,0.94,0.94,0.5,0
-0.0050055,0.11901,-0.022854,-0.11678,0,1,0.941,0.941,0.5,0
-0.0051075,0.11704,-0.022135,-0.11491,0,1,0.942,0.942,0.5,0
-0.0052096,0.11506,-0.021417,-0.11304,0,1,0.943,0.943,0.5,0
-0.0053116,0.11309,-0.020698,-0.11117,0,1,0.944,0.944,0.5,0
-0.0054136,0.11112,-0.019979,-0.1093,0,1,0.945,0.945,0.5,0
-0.0055209,0.10912,-0.019316,-0.10739,0,1,0.946,0.946,0.5,0
-0.0056307,0.10712,-0.018677,-0.10546,0,1,0.947,0.947,0.5,0
-0.0057404,0.10511,-0.018038,-0.10354,0,1,0.948,0.948,0.5,0
-0.0058502,0.10311,-0.017399,-0.10161,0,1,0.949,0.949,0.5,0
-0.0059599,0.1011,-0.01676,-0.099688,0,1,0.95,0.95,0.5,0
-0.0060697,0.099096,-0.016121,-0.097763,0,1,0.951,0.951,0.5,0
-0.0061794,0.097091,-0.015482,-0.095838,0,1,0.952,0.952,0.5,0
-0.0062891,0.095086,-0.014843,-0.093913,0,1,0.953,0.953,0.5,0
-0.0064048,0.093062,-0.014279,-0.091951,0,1,0.954,0.954,0.5,0
-0.0065213,0.091036,-0.013726,-0.089984,0,1,0.955,0.955,0.5,0
-0.0066379,0.08901,-0.013173,-0.088017,0,1,0.956,0.956,0.5,0
-0.0067544,0.086983,-0.01262,-0.08605,0,1,0.957,0.957,0.5,0
-0.0068709,0.084957,-0.012066,-0.084083,0,1,0.958,0.958,0.5,0
-0.0069874,0.08293,-0.011513,-0.082116,0,1,0.959,0.959,0.5,0
-0.007104,0.080904,-0.01096,-0.080149,0,1,0.96,0.96,0.5,0
-0.0072209,0.078877,-0.010413,-0.078181,0,1,0.961,0.961,0.5,0
-0.0073433,0.076839,-0.0099506,-0.076184,0,1,0.962,0.962,0.5,0
-0.0074657,0.074802,-0.0094887,-0.074188,0,1,0.963,0.963,0.5,0
